Operand 1,Operand 2,Operator,Answer,Markers List,Visible Markers,Question EN,Question ES
2.2,,,2,"1,2,3,4,5,6,7,8,9,10","1,2,3,4,5,6,7,8,9,10",Round 2.2 to the nearest whole number.,Redondea 2.2 al número entero más cercano.
4.7,,,5,"1,2,3,4,5,6,7,8,9,10","1,2,3,4,5,6,7,8,9,10",Round 4.7 to the nearest whole number.,Redondea 4.7 al número entero más cercano.
1.1,,,1,"1,2,3,4,5,6,7,8,9,10","1,2,3,4,5,6,7,8,9,10",Round 1.1 to the nearest whole number.,Redondea 1.1 al número entero más cercano.
5.5,,,6,"1,2,3,4,5,6,7,8,9,10","1,2,3,4,5,6,7,8,9,10",Round 5.5 to the nearest whole number.,Redondea 5.5 al número entero más cercano.
3.76,,,3.8,"3.0,3.2,3.4,3.6,3.8,4.0","3.0,3.2,3.4,3.6,3.8,4.0",Round 3.76 to the nearest tenth.,Redondea 3.76 a la décima más cercana.
2.34,,,2.3,"2.0,2.2,2.4,2.6,2.8,3.0","2.0,2.2,2.4,2.6,2.8,3.0",Round 2.34 to the nearest tenth.,Redondea 2.34 a la décima más cercana.
6.85,,,6.9,"6.0,6.2,6.4,6.6,6.8,7.0","6.0,6.2,6.4,6.6,6.8,7.0",Round 6.85 to the nearest tenth.,Redondea 6.85 a la décima más cercana.
4.376,,,4.38,"4.370,4.372,4.374,4.376,4.378,4.380","4.370,4.372,4.374,4.376,4.378,4.380",Round 4.376 to the nearest hundredth.,Redondea 4.376 a la centésima más cercana.
5.839,,,5.84,"5.830,5.832,5.834,5.836,5.838,5.840","5.830,5.832,5.834,5.836,5.838,5.840",Round 5.839 to the nearest hundredth.,Redondea 5.843 a la centésima más cercana.
3.995,,,4,"3.990,3.992,3.994,3.996,3.998,4.000","3.990,3.992,3.994,3.996,3.998,4.000",Round 3.995 to the nearest hundredth.,Redondea 3.995 a la centésima más cercana.
3.14,,,3.1,"3.0,3.2,3.4,3.6,3.8,4.0","3.0,3.2,3.4,3.6,3.8,4.0",Round 3.14 to the nearest tenth.,Redondea 3.14 a la décima más cercana.
7.255,,,7.26,"7.250,7.252,7.254,7.256,7.258,7.260","7.250,7.252,7.254,7.256,7.258,7.260",Round 7.255 to the nearest hundredth.,Redondea 7.255 a la centésima más cercana.
3.786,,,3.79,"3.780,3.782,3.784,3.786,3.788,3.790","3.780,3.782,3.784,3.786,3.788,3.790",Round 3.786 to the nearest hundredth.,Redondea 3.786 a la centésima más cercana.
9.11,,,9.1,"9.0,9.2,9.4,9.6,9.8,10.0","9.0,9.2,9.4,9.6,9.8,10.0",Round 9.11 to the nearest tenth.,Redondea 9.11 a la décima más cercana.
2.451,,,2.45,"2.450,2.452,2.454,2.456,2.458,2.460","2.450,2.451,2.452,2.454,2.456,2.458,2.460",Round 2.451 to the nearest hundredth.,Redondea 2.451 a la centésima más cercana.
2.63,,,2.6,"2.0,2.2,2.4,2.6,2.8,3.0","2.0,2.2,2.4,2.6,2.8,3.0",Round 2.63 to the nearest tenth.,Redondea 2.63 a la décima más cercana.
4.67,,,4.7,"4.0,4.2,4.4,4.6,4.8,5.0","4.0,4.2,4.4,4.6,4.8,5.0",Round 4.67 to the nearest tenth.,Redondea 4.67 a la décima más cercana.
6.45,,,6.5,"6.0,6.2,6.4,6.6,6.8,7.0","6.0,6.2,6.4,6.6,6.8,7.0",Round 6.45 to the nearest tenth.,Redondea 6.45 a la décima más cercana.
3.225,,,3.23,"3.220,3.222,3.224,3.226,3.228,3.230","3.220,3.222,3.224,3.226,3.228,3.230",Round 3.225 to the nearest hundredth.,Redondea 3.225 a la centésima más cercana.
1.37,,,1.4,"1.0,1.2,1.4,1.6,1.8,2.0","1.0,1.2,1.4,1.6,1.8,2.0",Round 1.37 to the nearest tenth.,Redondea 1.37 a la décima más cercana.
4.902,,,4.9,"4.900,4.902,4.904,4.906,4.908,4.910","4.900,4.902,4.904,4.906,4.908,4.910",Round 4.902 to the nearest hundredth.,Redondea 4.902 a la centésima más cercana.
0.44,,,0.4,"0.0,0.2,0.4,0.6,0.8,1.0","0.0,0.2,0.4,0.6,0.8,1.0",Round 0.44 to the nearest tenth.,Redondea 0.44 a la décima más cercana.
