Operand 1,Operand 2,Operator,Answer,Markers List,Visible Markers
3/5,,,6/10,"0,2/10,4/10,6/10,8/10,1","0,2/10,4/10,6/10,8/10,1"
2/3,,,4/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1/6,2/6,3/6,4/6,5/6,1"
5/6,,,10/12,"0,2/12,4/12,6/12,8/12,10/12,12/12","0,2/12,4/12,6/12,8/12,10/12,12/12"
4/7,,,8/14,"0,2/14,4/14,6/14,8/14,10/14,12/14,14/14","0,2/14,4/14,6/14,8/14,10/14,12/14,14/14"
7/8,,,14/16,"0,2/16,4/16,6/16,8/16,10/16,12/16,14/16,16/16","0,2/16,4/16,6/16,8/16,10/16,12/16,14/16,16/16"
3/10,,,30/100,"0,20/100,40/100,60/100,80/100,100/100","0,20/100,40/100,60/100,80/100,100/100"
5/12,,,25/60,"0,15/60,30/60,45/60,60/60","0,15/60,30/60,45/60,60/60"
4/25,,,16/100,"0,20/100,40/100,60/100,80/100,100/100","0,20/100,40/100,60/100,80/100,100/100"
6/11,,,12/22,"0,2/22,4/22,6/22,8/22,10/22,12/22,14/22,16/22,18/22,20/22,22/22","0,2/22,4/22,6/22,8/22,10/22,12/22,14/22,16/22,18/22,20/22,22/22"
7/9,,,28/36,"0,6/36,12/36,18/36,24/36,30/36,36/36","0,6/36,12/36,18/36,24/36,30/36,36/36"
2/5,,,4/10,"1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1"
3/20,,,15/100,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,100/100","0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,100/100"
5/6,,,10/12,"0,2/12,4/12,6/12,8/12,10/12,12/12","0,2/12,4/12,6/12,8/12,10/12,12/12"
6/25,,,24/100,"0,20/100,40/100,60/100,80/100,100/100","0,20/100,40/100,60/100,80/100,100/100"
4/9,,,16/36,"0,4/36,8/36,12/36,16/36,20/36,24/36,28/36,32/36,36/36","0,4/36,8/36,12/36,16/36,20/36,24/36,28/36,32/36,36/36"
5/10,,,50/100,"0,20/100,40/100,60/100,80/100,100/100","0,20/100,40/100,60/100,80/100,100/100"
3/7,,,6/14,"0,2/14,4/14,6/14,8/14,10/14,12/14,14/14","0,2/14,4/14,6/14,8/14,10/14,12/14,14/14"
2/3,,,4/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1/6,2/6,3/6,4/6,5/6,1"
4/12,,,20/60,"0,10/60,20/60,30/60,40/60,50/60,60/60","0,10/60,20/60,30/60,40/60,50/60,60/60"
3/12,,,15/60,"0,10/60,20/60,30/60,40/60,50/60,60/60","0,10/60,20/60,30/60,40/60,50/60,60/60"
5/8,,,10/16,"0,2/16,4/16,6/16,8/16,10/16,12/16,14/16,16/16","0,2/16,4/16,6/16,8/16,10/16,12/16,14/16,16/16"
7/10,,,70/100,"0,20/100,40/100,60/100,80/100,100/100","0,20/100,40/100,60/100,80/100,100/100"
3/6,,,6/12,"0,2/12,4/12,6/12,8/12,10/12,12/12","0,2/12,4/12,6/12,8/12,10/12,12/12"
2/13,,,4/26,"0,2/26,4/26,6/26,8/26,10/26,12/26,14/26,16/26,18/26,20/26,22/26,24/26,26/26","0,2/26,4/26,6/26,8/26,10/26,12/26,14/26,16/26,18/26,20/26,22/26,24/26,26/26"
3/4,,,6/8,"0,2/8,4/8,6/8,8/8","0,2/8,4/8,6/8,8/8"
3/11,,,6/22,"0,2/22,4/22,6/22,8/22,10/22,12/22,14/22,16/22,18/22,20/22,22/22","0,2/22,4/22,6/22,8/22,10/22,12/22,14/22,16/22,18/22,20/22,22/22"
7/9,,,14/18,"0,2/18,4/18,6/18,8/18,10/18,12/18,14/18,16/18,18/18","0,2/18,4/18,6/18,8/18,10/18,12/18,14/18,16/18,18/18"
1/10,,,10/100,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,100/100","0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,100/100"
1/4,,,2/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1"
4/5,,,8/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,10/10","0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,10/10"
1/7,1/14,+,3/14,"0,2/14,4/14,6/14,8/14,10/14,12/14,14/14","0,2/14,4/14,6/14,8/14,10/14,12/14,14/14"
2/9,1/6,+,7/18,"0,2/18,4/18,6/18,8/18,10/18,12/18,14/18,16/18,18/18","0,2/18,4/18,6/18,8/18,10/18,12/18,14/18,16/18,18/18"
1/5,3/10,+,1/2,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
2/10,1/5,+,4/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
2/9,1/12,+,11/36,"0,3/36,6/36,9/36,12/36,15/36,18/36,21/36,24/36,27/36,30/36,33/36,1","0,6/36,12/36,18/36,24/36,30/36,1"
3/5,1/10,+,7/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
2/25,1/50,+,5/50,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
3/20,1/10,+,1/5,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
3/11,2/6,+,40/66,"0,2/22,4/22,6/22,8/22,10/22,12/22,14/22,16/22,18/22,20/22,22/22","0,2/22,4/22,6/22,8/22,10/22,12/22,14/22,16/22,18/22,20/22,22/22"
3/10,3/25,+,21/50,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
3/5,2/10,+,4/5,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
1/6,5/18,+,4/9,"0,1/9,2/9,3/9,4/9,5/9,6/9,7/9,8/9,1","0,1/9,2/9,3/9,4/9,5/9,6/9,7/9,8/9,1"
2/7,1/6,+,19/42,"0,6/42,12/42,18/42,24/42,30/42,36/42,42/42","0,6/42,12/42,18/42,24/42,30/42,36/42,42/42"
1/2,3/8,+,7/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,2/8,4/8,6/8,1"
3/16,5/12,+,29/48,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,2/8,4/8,6/8,1"
2/3,1/4,+,11/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,2/12,4/12,6/12,8/12,10/12,1"
3/11,2/15,+,67/165,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
2/9,1/14,+,37/126,"0,18/126,36/126,54/126,63/126,84/126,99/126,108/126,126/126","0,18/126,36/126,54/126,63/126,84/126,99/126,108/126,126/126"
2/5,3/20,+,11/20,"0,2/20,4/20,6/20,8/20,10/20,12/20,14/20,16/20,18/20,1","0,4/20,8/20,12/20,16/20,1"
1/6,1/3,+,1/2,"0,1/6,2/6,3/6,4/6,5/6,1","0,1/6,2/6,3/6,4/6,5/6,1"
3/8,1/11,+,41/88,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,2/8,4/8,6/8,1"
3/10,3/5,+,9/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
7/10,1/4,+,19/20,"0,2/20,4/20,6/20,8/20,10/20,12/20,14/20,16/20,18/20,1","0,4/20,8/20,12/20,16/20,1"
3/10,1/50,+,16/50,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
