Operand 1,Operand 2,Operator,Answer,Markers List,Visible Markers
1/4,1/4,+,2/4,"0,1/4,2/4,3/4,1","0,1"
1/5,2/5,+,3/5,"0,1/5,2/5,3/5,4/5,1","0,1"
3/12,4/12,+,7/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
5/8,2/8,+,7/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
2/6,3/6,+,5/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
5/10,5/10,+,10/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,1"
2/3,1/3,+,3/3,"0,1/3,2/3,1","0,1"
2/12,4/12,+,6/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
3/8,4/8,+,7/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
60/100,25/100,+,85/100,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,1","0,1"
7/8,1/8,+,8/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
25/100,40/100,+,65/100,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,1","0,1"
3/6,2/6,+,5/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
6/12,3/12,+,9/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
6/8,2/8,+,8/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
5/10,5/10,+,10/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,1"
6/12,5/12,+,11/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
3/6,2/6,+,5/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
55/100,20/100,+,75/100,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,1","0,1"
3/8,4/8,+,7/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
4/10,2/10,+,6/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,1"
3/8,1/8,+,4/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
85/100,15/100,+,1,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,1","0,1"
5/8,2/8,+,7/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
2/3,1/3,+,3/3,"0,1/3,2/3,1","0,1"
85/100,10/100,+,95/100,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,1","0,1"
5/6,1/6,+,6/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
4/12,5/12,+,9/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
2/6,1/6,+,3/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
7/10,2/10,+,9/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,1"
3/10,1/10,–,2/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,1"
4/6,1/6,–,3/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
3/4,1/4,–,2/4,"0,1/4,2/4,3/4,1","0,1"
5/6,3/6,–,2/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
8/12,5/12,–,3/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
7/8,6/8,–,1/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
9/10,4/10,–,5/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,1"
11/12,7/12,–,4/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
75/100,35/100,–,40/100,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,1","0,1"
9/12,3/12,–,6/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
8/10,3/10,–,5/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,1"
6/8,3/8,–,3/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
8/12,3/12,–,5/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
11/12,2/12,–,9/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
7/8,6/8,–,1/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
90/100,40/100,–,50/100,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,1","0,1"
9/12,5/12,–,4/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
7/12,4/12,–,3/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
6/8,5/8,–,1/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
5/6,2/6,–,3/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1"
7/10,3/10,–,4/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,1"
6/12,2/12,–,4/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
6/8,2/8,–,4/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,1"
3/4,1/4,–,2/4,"0,1/4,2/4,3/4,1","0,1"
95/100,25/100,–,70/100,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,1","0,1"
6/12,5/12,–,1/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,1"
9/10,4/10,–,5/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,1"
100/100,25/100,–,75/100,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,1","0,1"
9/10,5/10,–,4/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,1"
45/100,15/100,–,30/100,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,1","0,1"
5/4,2/4,+,7/4,"0,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4","0,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4"
6/6,1/6,+,7/6,"0,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6","0,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6"
7/8,3/8,–,4/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,8/8","0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,8/8"
1 2/5,3/5,–,4/5,"0,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5","0,1/5,2/5,3/5,7/5,8/5,9/5,10/5"
1 3/4,1/4,+,2,"0,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4","0,1/4,3/4,4/4,5/4,7/4,8/4"
2/6,1 4/6,+,2,"0,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6","0,1/6,3/6,5/6,7/6,9/6,11/6,12/6"
3/8,1 3/8,+,1 6/8,"0,2/8,4/8,6/8,8/8,10/8,12/8,14/8,16/8","0,4/8,8/8,12/8,16/8"
9/10,4/10,+,13/10,"0,2/10,4/10,6/10,8/10,10/10,12/10,14/10,16/10,18/10,20/10","0,6/10,10/10,14/10,20/10"
1 5/12,3/12,+,1 8/12,"0,2/12,4/12,6/12,8/12,10/12,12/12,14/12,16/12,18/12,20/12,22/12,24/12","0,6/12,12/12,18/12,24/12"
11/12,5/12,+,1 4/12,"0,2/12,4/12,6/12,8/12,10/12,12/12,14/12,16/12,18/12,20/12,22/12,24/12","0,1,2"
1 30/100,50/100,+,1 80/100,"0,2/10,4/10,6/10,8/10,10/10,12/10,14/10,16/10,18/10,20/10","0,4/10,8/10,10/10,12/10,16/10,20/10"
2/10,1 6/10,+,1 8/10,"0,2/10,4/10,6/10,8/10,10/10,12/10,14/10,16/10,18/10,20/10","0,2/10,6/10,10/10,14/10,18/10,20/10"
2 4/10,1 7/10,–,7/10,"0,3/10,6/10,9/10,12/10,15/10,18/10,21/10,24/10,27/10,30/10","0,6/10,12/10,18/10,24/10,30/10"
1 4/6,1/6,–,1 3/6,"0,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6","0,1/6,3/6,5/6,6/6,7/6,9/6,11/6,12/6"
1 4/5,1/5,+,2,"0,2/5,4/5,6/5,8/5,10/5,12/5,14/5,3","0,2/5,6/5,10/5,14/5,3"
11/12,7/12,+,1 6/12,"0,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6","0,3/6,6/6,9/6,12/6"
1 7/8,5/8,–,1 2/8,"0,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4","0,2/4,4/4,6/4,8/4"
3/5,1 1/5,+,1 4/5,"0,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5","0,1/5,3/5,5/5,7/5,9/5,10/5"
2/8,1 5/8,+,1 7/8,"0,2/8,4/8,6/8,8/8,10/8,12/8,14/8,16/8","0,2/8,6/8,10/8,14/8,16/8"
1 5/12,2/12,–,5/4,"0,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4","0,2/4,4/4,6/4,8/4"
1 1/4,1 2/4,+,2 3/4,"0,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4","0,2/4,4/4,6/4,8/4,10/4,12/4"
95/100,30/100,+,5/4,"0,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4","0,1/2,1,5/4,2"
