Operand 1,Operand 2,Answer,Operator,Markers List
56,8,7,÷,"0,1,2,3,4,5,6,7,8,9,10"
81,9,9,÷,"0,1,2,3,4,5,6,7,8,9,10"
42,7,6,÷,"0,1,2,3,4,5,6,7,8,9,10"
72,9,8,÷,"0,1,2,3,4,5,6,7,8,9,10"
60,12,5,÷,"0,1,2,3,4,5,6,7,8,9,10"
77,7,11,÷,"10,11,12,13,14,15,16,17,18,19,20"
54,6,9,÷,"0,1,2,3,4,5,6,7,8,9,10"
77,11,7,÷,"0,1,2,3,4,5,6,7,8,9,10"
64,8,8,÷,"0,1,2,3,4,5,6,7,8,9,10"
80,8,10,÷,"10,11,12,13,14,15,16,17,18,19,20"
63,7,9,÷,"0,1,2,3,4,5,6,7,8,9,10"
48,6,8,÷,"0,1,2,3,4,5,6,7,8,9,10"
49,7,7,÷,"0,1,2,3,4,5,6,7,8,9,10"
45,5,9,÷,"0,1,2,3,4,5,6,7,8,9,10"
66,6,11,÷,"10,11,12,13,14,15,16,17,18,19,20"
55,5,11,÷,"10,11,12,13,14,15,16,17,18,19,20"
88,8,11,÷,"10,11,12,13,14,15,16,17,18,19,20"
99,9,11,÷,"10,11,12,13,14,15,16,17,18,19,20"
84,7,12,÷,"10,11,12,13,14,15,16,17,18,19,20"
96,8,12,÷,"10,11,12,13,14,15,16,17,18,19,20"
