Operand 1,Operand 2,Answer,Markers List
2x + 3 = 11,,4,"0,1,2,3,4,5,6,7,8,9,10"
–2 + 3x = 4,,2,"0,1,2,3,4,5,6,7,8,9,10"
16 = 4x + 4,,3,"0,1,2,3,4,5,6,7,8,9,10"
6 + x = 12,,6,"0,1,2,3,4,5,6,7,8,9,10"
3(x + 1) = 9,,2,"0,1,2,3,4,5,6,7,8,9,10"
5x – 5 = 30,,7,"0,1,2,3,4,5,6,7,8,9,10"
18 = 2x + 4,,7,"0,1,2,3,4,5,6,7,8,9,10"
2(x + 3) = 16,,5,"0,1,2,3,4,5,6,7,8,9,10"
10 = 3x + 1,,3,"0,1,2,3,4,5,6,7,8,9,10"
4 = 2x – 10,,7,"0,1,2,3,4,5,6,7,8,9,10"
3 + 2x = 11,,4,"0,1,2,3,4,5,6,7,8,9,10"
2x – 4 = 10,,7,"0,1,2,3,4,5,6,7,8,9,10"
5x + 3 = 23,,4,"0,1,2,3,4,5,6,7,8,9,10"
4 = x + 2,,2,"0,1,2,3,4,5,6,7,8,9,10"
7x – 5 = 30,,5,"0,1,2,3,4,5,6,7,8,9,10"
10 = 4x + 2,,2,"0,1,2,3,4,5,6,7,8,9,10"
6x + 4 = 28,,4,"0,1,2,3,4,5,6,7,8,9,10"
8x – 4 = 36,,5,"0,1,2,3,4,5,6,7,8,9,10"
9 = 3x + 6,,1,"0,1,2,3,4,5,6,7,8,9,10"
3x + 7 = 22,,5,"0,1,2,3,4,5,6,7,8,9,10"
