Operand 1,Operand 2,Answer,Markers List
4/8,,0.5,"0,1/4,2/4,3/4,1"
2/6,,0.3333,"0,1/3,2/3,1"
1/4,,0.25,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1"
8/12,,0.6667,"0,1/6,2/6,3/6,4/6,5/6,1"
20/100,,0.2,"0,1/5,2/5,3/5,4/5,1"
6/8,,0.75,"0,1/4,2/4,3/4,1"
1/2,,0.5,"0,1/6,2/6,3/6,4/6,5/6,1"
15/20,,0.75,"0,1/4,2/4,3/4,1"
6/10,,0.6,"0,1/5,2/5,3/5,4/5,1"
10/12,,0.8333,"0,1/6,2/6,3/6,4/6,5/6,1"
25/100,,0.25,"0,1/4,2/4,3/4,1"
3/6,,0.5,"0,1/4,2/4,3/4,1"
4/12,,0.3333,"0,1/3,2/3,1"
5/10,,0.5,"0,1/6,2/6,3/6,4/6,5/6,1"
10/100,,0.1,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1"
8/10,,0.8,"0,1/5,2/5,3/5,4/5,1"
6/12,,0.5,"0,1/4,2/4,3/4,1"
2/10,,0.2,"0,1/5,2/5,3/5,4/5,1"
12/20,,0.6,"0,1/5,2/5,3/5,4/5,1"
30/100,,0.3,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1"
