Operand 1,Operand 2,Answer,Markers List,Visible Markers
18,,18,"10,12,14,16,18,20,22,24,26,28,30","10,12,14,16,18,20,22,24,26,28,30"
22,,22,"20,22,24,26,28,30,32,34,36,38,40","20,22,24,26,28,30,32,34,36,38,40"
15,,15,"5,10,15,20,25,30,35,40,45","5,10,15,20,25,30,35,40,45"
26,,26,"20,22,24,26,28,30,32,34,36,38,40","20,22,24,26,28,30,32,34,36,38,40"
33,,33,"10,15,20,25,30,35,40,45,50,55,60","10,15,20,25,30,35,40,45,50,55,60"
48,,48,"40,42,44,46,48,50,52,54,56,58,60","40,42,44,46,48,50,52,54,56,58,60"
55,,55,"0,5,10,15,20,25,30,35,40,45,50,55,60","0,5,10,15,20,25,30,35,40,45,50,55,60"
58,,58,"40,42,44,46,48,50,52,54,56,58,60","40,42,44,46,48,50,52,54,56,58,60"
45,,45,"0,5,10,15,20,25,30,35,40,45,50","0,5,10,15,20,25,30,35,40,45,50"
52,,52,"40,42,44,46,48,50,52,54,56,58,60","40,42,44,46,48,50,52,54,56,58,60"
25,,25,"5,10,15,20,25,30,35,40,45","5,10,15,20,25,30,35,40,45"
58,,58,"40,42,44,46,48,50,52,54,56,58,60","40,42,44,46,48,50,52,54,56,58,60"
15,,15,"0,5,10,15,20,25,30","0,5,10,15,20,25,30"
52,,52,"20,25,30,35,40,45,50,55,60","20,25,30,35,40,45,50,55,60"
35,,35,"0,5,10,15,20,25,30,35,40,45,50","0,5,10,15,20,25,30,35,40,45,50"
18,,18,"2,4,6,8,10,12,14,16,18,20,22","2,4,6,8,10,12,14,16,18,20,22"
40,,40,"10,15,20,25,30,35,40,45,50,55,60","10,15,20,25,30,35,40,45,50,55,60"
46,,46,"30,32,34,36,38,40,42,44,46,48,50","30,32,34,36,38,40,42,44,46,48,50"
50,,50,"20,25,30,35,40,45,50,55,60","20,25,30,35,40,45,50,55,60"
42,,42,"30,32,34,36,38,40,42,44,46,48,50","30,32,34,36,38,40,42,44,46,48,50"
28,,28,"20,22,24,26,28,30,32,34,36,38,40","20,22,24,26,28,30,32,34,36,38,40"
36,,36,"20,22,24,26,28,30,32,34,36,38,40","20,22,24,26,28,30,32,34,36,38,40"
14,,14,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28","0,2,4,6,8,10,12,14,16,18,20,22,24,26,28"
36,,36,"20,22,24,26,28,30,32,34,36,38,40","20,22,24,26,28,30,32,34,36,38,40"
48,,48,"36,38,40,42,44,46,48,50,52,54,56,58,60","36,38,40,42,44,46,48,50,52,54,56,58,60"
55,,55,"0,5,10,15,20,25,30,35,40,45,50,55,60","0,5,10,15,20,25,30,35,40,45,50,55,60"
8,,8,"0,2,4,6,8,10,12,14,16,18,20","0,2,4,6,8,10,12,14,16,18,20"
20,,20,"0,5,10,15,20,25,30,35,40","0,5,10,15,20,25,30,35,40"
24,,24,"10,12,14,16,18,20,22,24,26,28,30","10,12,14,16,18,20,22,24,26,28,30"
55,,55,"5,10,15,20,25,30,35,40,45,50,55,60","5,10,15,20,25,30,35,40,45,50,55,60"
38,,38,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
67,,67,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
15,,15,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
76,,76,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
44,,44,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
83,,83,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
56,,56,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
93,,93,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
25,,25,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
6,,6,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
74,,74,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
41,,41,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
59,,59,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
36,,36,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
82,,82,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
48,,48,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
79,,79,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
12,,12,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
68,,68,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
27,,27,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
85,,85,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
35,,35,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
62,,62,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
66,,66,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
46,,46,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
