Operand 1,Operand 2,Answer
3x + 6,"1, 2, 3, 6",3
4x + 8,"1, 2, 4, 8",4
5x + 10,"1, 2, 5, 10",5
6x + 12,"1, 2, 3, 6",6
2x + 5x − 8,"1, 2, 3, 7",1
3x + 9x + 6,"1, 2, 3, 6",6
8x − 4x + 16,"1, 2, 4, 8",4
12x + 18,"1, 2, 3, 6",6
15x + 25x − 20,"1, 5, 10, 20",20
18x + 30x − 24,"6, 12, 24, 4",24
18x + 24,"1, 2, 3, 6",6
12x + 20,"1, 2, 4, 6",4
21x + 14,"1, 3, 7, 14",7
25x + 15,"1, 3, 5, 15",5
28x + 14,"1, 2, 7, 14",14
9x + 15,"1, 3, 5, 9",3
8x + 12x − 20,"2, 4, 10, 20",20
6x + 14x − 10,"1, 2, 5, 10",10
16x + 20,"1, 2, 4, 8",4
10x + 30,"1, 2, 5, 10",10
14x + 7x − 7,"1, 7, 14, 21",7
22x + 11,"1, 11, 22, 33",11
27x + 18,"1, 3, 6, 9",9
15x + 5x − 10,"1, 5, 10, 15",10
30x + 20,"1, 2, 5, 10",10
24x + 6x − 12,"1, 2, 3, 6",6
18x + 6,"1, 2, 3, 6",6
14x + 21x − 7,"1, 7, 14, 21",7
20x + 5,"1, 5, 10, 20",5
26x + 13,"1, 13, 26, 39",13
