Operand 1,Operand 2,Answer,Options,Incorrect Options
12,x+8,4,,
9,x-5,14,,
x-7,10,17,,
15,x+6,9,,
x+10,25,15,,
30,x-12,42,,
x+20,50,30,,
x-14,16,30,,
x-20,25,45,,
40,x-18,58,,
x-42,90,132,,
90,x-30,120,,
175,x+90,85,,
x+20,60,40,,
150,x-80,230,,
x+15,50,35,,
100,x-40,140,,
x-60,85,145,,
90,x+25,65,,
x+18,60,42,,
120,x-70,190,,
40,x-33,73,,
x+58,200,142,,
40,x+12,28,,
x+47,100,53,,
80,x-50,130,,
x+35,90,55,,
x-30,150,180,,
x-60,140,200,,
200,x+55,145,,
x/3,4,12,,
5x,10,2,,
7,x/2,14,,
4x,8,2,,
42,6x,7,,
x/7,9,63,,
56,8x,7,,
12x,144,12,,
9,x/15,135,,
20x,300,15,,
x/7,12,84,,
210,30x,7,,
6x,54,9,,
14,x/18,252,,
x/4,11,44,,
25x,200,8,,
126,18x,7,,
9x,81,9,,
x/9,25,225,,
12x,120,10,,
x/3,14,42,,
56,7x,8,,
5x,45,9,,
x/20,13,260,,
8x,64,8,,
192,16x,12,,
x/5,9,45,,
x/6,8,48,,
9,x/15,135,,
10x,400,40,,
4 ≥ x – 2,,"0,4,6,-2,-5",,"7,8,9,10,12"
2x < 12,,"0,3,5,-1,-4",,"6,7,8,9,10"
2 > x/3,,"0,3,5,-3,-6",,"6,7,9,12,15"
4x ≤ 20,,"0,5,3,-1,-4",,"6,7,8,9,10"
x + 7 > 14,,"8,10,12,15,20",,"7,6,5,0,-1"
18 < 3x,,"7,8,9,12,20",,"6,5,4,0,-3"
5 ≤ x/4,,"20,24,28,40,100",,"19,18,10,0,-4"
x – 10 ≥ 25,,"35,40,50,100,200",,"34,20,10,0,-1"
6x < -12,,"-3,-4,-5,-6,-10",,"-2,-1,0,1,5"
10 < x/8,,"81,90,100,120,200",,"80,70,50,0,-8"
x/8 > 11,,"89,90,100,120,200",,"80,70,50,0,-8"
15 < x + 6,,"18,10,12,15,20",,"7,6,5,0,-1"
2x > 18,,"17,10,11,12,20",,"6,5,4,0,-3"
9 ≤ x/5,,"45,50,60,70,100",,"44,30,0,-5,10"
x – 10 ≥ 20,,"35,40,50,100,200",,"3,20,10,0,-1"
4x ≤ 24,,"0,5,3,-1,-4",,"16,7,8,9,10"
-12 > 3x,,"-9,-7,-5,-6,-10",,"-2,-1,0,1,5"
x/3 ≥ 8,,"24,30,40,50,100",,"23,10,0,-3,5"
x – 4 ≥ 6,,"10,12,15,20,30",,"9,8,7,0,-5"
5x > 40,,"9,10,12,15,20",,"8,7,6,0,-2"
x/7 > 6,,"43,50,60,70,100",,"42,30,10,0,-5"
10 < x + 2,,"9,10,12,15,30",,"8,7,6,0,-1"
8x ≥ 64,,"8,9,10,12,20",,"7,6,5,0,-3"
x/6 ≤ -3,,"-18,-20,-24,-30,-40",,"-17,-10,-5,0,5"
35 < 7x,,"6,7,8,9,10",,"5,4,3,0,-1"
x – 12 > 30,,"43,50,60,100,200",,"42,40,30,0,-1"
5 ≤ x/4,,"20,24,28,40,100",,"19,18,10,0,-4"
9x < -45,,"-6,-7,-8,-9,-10",,"-5,-4,-3,0,1"
10x > 90,,"10,12,15,20,50",,"9,8,7,0,-1"
-4 > x/2,,"-9,-10,-12,-15,-20",,"-8,-7,-6,0,5"
