Operand 1,Operand 2,Operator,Answer,Markers,Visible Markers
1,6,+,7,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
8,2,-,6,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
6,1,-,5,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
3,2,+,5,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
3,4,+,7,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
7,4,-,3,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
5,4,+,9,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
6,2,+,8,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
10,3,-,7,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
9,6,-,3,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
9,4,-,5,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
6,2,+,8,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
5,4,+,9,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
10,3,-,7,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
3,5,+,8,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
7,4,-,3,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
6,3,+,9,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
8,5,-,3,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
4,5,+,9,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
9,2,-,7,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
3,4,+,7,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
10,5,-,5,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
7,2,+,9,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
8,3,-,5,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
4,4,+,8,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
6,1,+,7,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
10,6,-,4,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
2,7,+,9,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
9,5,-,4,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
5,3,+,8,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
