Operand 1,Operand 2,Answer,Operator,Markers List
7,8,56,×,"0,7,14,21,28,35,42,49,56,63"
9,9,81,×,"0,9,18,27,36,45,54,63,72,81"
6,7,42,×,"0,6,12,18,24,30,36,42,48,54"
8,9,72,×,"0,8,16,24,32,40,48,56,64,72"
5,12,60,×,"50,55,60,65,70,75,80,85,90,95"
11,7,77,×,"0,11,22,33,44,55,66,77,88,99"
9,6,54,×,"0,9,18,27,36,45,54,63,72,81"
7,11,77,×,"70,77,84,91,98,105,112,119,126,133"
8,8,64,×,"0,8,16,24,32,40,48,56,64,72"
10,8,80,×,"0,10,20,30,40,50,60,70,80,90"
6,9,54,×,"0,6,12,18,24,30,36,42,48,54"
7,9,63,×,"0,7,14,21,28,35,42,49,56,63"
8,7,56,×,"0,8,16,24,32,40,48,56,64,72"
9,7,63,×,"0,9,18,27,36,45,54,63,72,81"
6,8,48,×,"0,6,12,18,24,30,36,42,48,54"
7,7,49,×,"0,7,14,21,28,35,42,49,56,63"
8,6,48,×,"0,8,16,24,32,40,48,56,64,72"
9,5,45,×,"0,9,18,27,36,45,54,63,72,81"
10,6,60,×,"0,10,20,30,40,50,60,70,80,90"
11,6,66,×,"0,11,22,33,44,55,66,77,88,99"
