Operand 1,Operand 2,Operator,Answer,Markers List,Visible Markers
3,1/4,×,3/4,"0,1/4,2/4,3/4,1","0,1/4,2/4,3/4,1"
4,1/5,×,4/5,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
3,1/6,×,3/6,"0,1/6,2/6,3/6,4/6,5/6,1","0,1/6,2/6,3/6,4/6,5/6,1"
5,1/10,×,5/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1"
3,2/25,×,6/25,"0,5/25,10/25,15/25,20/25,1","0,5/25,10/25,15/25,20/25,1"
2,3/30,×,6/30,"0,3/30,6/30,9/30,12/30,15/30,18/30,21/30,24/30,27/30,30/30","0,6/30,12/30,18/30,24/30,30/30"
4,5/20,×,1,"0,2/20,4/20,6/20,8/20,10/20,12/20,14/20,16/20,18/20,1","0,4/20,8/20,12/20,16/20,1"
7,3/80,×,21/80,"0,10/80,20/80,30/80,40/80,50/80,60/80,70/80,1","0,20/80,40/80,60/80,1"
8,2/60,×,16/60,"0,10/60,20/60,30/60,40/60,50/60,1","0,20/60,40/60,1"
9,4/100,×,36/100,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,1","0,20/100,40/100,60/100,80/100,1"
7,3/80,×,21/80,"0,10/80,20/80,30/80,40/80,50/80,60/80,70/80,80/80,1","0,20/80,40/80,60/80,1"
4,2/10,×,8/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
8,2/60,×,16/60,"0,5/60,10/60,15/60,20/60,25/60,30/60,35/60,40/60,45/60,50/60,55/60,1","0,10/60,20/60,30/60,40/60,50/60,1"
3,2/12,×,6/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,2/12,4/12,6/12,8/12,10/12,1"
6,7/120,×,42/120,"0,20/120,40/120,60/120,80/120,100/120,1","0,20/120,40/120,60/120,80/120,100/120,1"
5,3/20,×,15/20,"0,2/20,4/20,6/20,8/20,10/20,12/20,14/20,16/20,18/20,1","0,4/20,8/20,12/20,16/20,1"
9,4/100,×,36/100,"0,10/100,20/100,30/100,40/100,50/100,60/100,70/100,80/100,90/100,1","0,20/100,40/100,60/100,80/100,1"
5,2/12,×,10/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,2/12,4/12,6/12,8/12,10/12,1"
6,2/20,×,12/20,"0,2/20,4/20,6/20,8/20,10/20,12/20,14/20,16/20,18/20,1","0,4/20,8/20,12/20,16/20,1"
8,1/15,×,8/15,"0,3/15,6/15,9/15,12/15,1","0,3/15,6/15,9/15,12/15,1"
9,1/20,×,9/20,"0,2/20,4/20,6/20,8/20,10/20,12/20,14/20,16/20,18/20,1","0,4/20,8/20,12/20,16/20,1"
7,1/10,×,7/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
4,5/40,×,20/40,"0,5/40,10/40,15/40,20/40,25/40,30/40,35/40,1","0,10/40,20/40,30/40,1"
8,1/25,×,8/25,"0,5/25,10/25,15/25,20/25,1","0,5/25,10/25,15/25,20/25,25/25"
3,4/60,×,12/60,"0,10/60,20/60,30/60,40/60,50/60,1","0,20/60,40/60,1"
6,3/50,×,18/50,"0,10/50,20/50,30/50,40/50,1","0,10/50,20/50,30/50,40/50,1"
5,3/75,×,15/75,"0,15/75,30/75,45/75,60/75,1","0,15/75,30/75,45/75,60/75,1"
4,1/12,×,4/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,2/12,4/12,6/12,8/12,10/12,1"
6,1/15,×,6/15,"0,3/15,6/15,9/15,12/15,1","0,3/15,6/15,9/15,12/15,1"
7,2/30,×,14/30,"0,3/30,6/30,9/30,12/30,15/30,18/30,21/30,24/30,27/30,30/30","0,6/30,12/30,18/30,24/30,30/30"
