Operand 1,Operand 2,Answer,Markers List,Visible Markers
_%,,10,"0,10,20,30,40,50,60,70,80,90,100","0,20,40,60,80,100"
_%,,75,"0,25,50,75,100","0,25,50,75,100"
_%,,40,"0,10,20,30,40,50,60,70,80,90,100","0,10,30,50,70,90,100"
_%,,60,"0,25,50,75,100","0,25,50,75,100"
_%,,30,"0,25,50,75,100","0,25,50,75,100"
_%,,20,"0,25,50,75,100","0,25,50,75,100"
_%,,45,"0,10,20,30,40,50,60,70,80,90,100","0,20,40,60,80,100"
_%,,75,"0,50,100","0,100"
_%,,35,"0,50,100","0,100"
_%,,55,"0,50,100","0,100"
_%,,15,"0,50,100","0,100"
_%,,20,"0,25,50,75,100","0,25,50,75,100"
_%,,40,"0,25,50,75,100","0,50,100"
_%,,55,"0,50,100","0,50,100"
_%,,68,"0,25,50,75,100","0,50,100"
_%,,33,"0,50,100","0,100"
_%,,45,"0,50,100","0,100"
_%,,80,"0,25,50,75,100","0,50,100"
_%,,60,"0,50,100","0,100"
_%,,95,"0,25,50,75,100","0,50,100"
_%,,10,"0,25,50,75,100","0,25,50,75,100"
_%,,21,"0,10,20,30,40,50,60,70,80,90,100","0,20,40,60,80,100"
_%,,20,"0,25,50,75,100","0,50,100"
_%,,60,"0,25,50,75,100","0,50,100"
_%,,26,"0,10,20,30,40,50,60,70,80,90,100","0,20,40,60,80,100"
_%,,70,"0,25,50,75,100","0,50,100"
_%,,90,"0,50,100","0,100"
_%,,32,"0,10,20,30,40,50,60,70,80,90,100","0,20,40,60,80,100"
_%,,60,"0,50,100","0,100"
_%,,30,"0,10,20,30,40,50,60,70,80,90,100","0,20,40,60,80,100"
10%,,0.1,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
25%,,0.25,"0.0,0.25,0.5,0.75,1.0","0.0,0.25,0.5,0.75,1.0"
75%,,0.75,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
50%,,0.5,"0.0,0.2,0.4,0.6,0.8,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
20%,,0.2,"0.0,0.25,0.5,0.75,1.0","0.0,0.25,0.5,0.75,1.0"
35%,,0.35,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
65%,,0.65,"0.0,0.25,0.5,0.75,1.0","0.0,0.25,0.5,0.75,1.0"
15%,,0.15,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
85%,,0.85,"0.0,0.25,0.5,0.75,1.0","0.0,0.5,1.0"
95%,,0.95,"0.0,0.25,0.5,0.75,1.0","0.0,0.5,1.0"
100%,,1,"0.0,0.25,0.5,0.75,1.0","0.0,0.25,0.5,0.75,1.0"
30%,,0.3,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
40%,,0.4,"0.0,0.25,0.5,0.75,1.0","0.0,0.5,1.0"
55%,,0.55,"0.0,0.25,0.5,0.75,1.0","0.0,0.25,0.5,0.75,1.0"
65%,,0.65,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
45%,,0.45,"0.0,0.25,0.5,0.75,1.0","0.0,0.25,0.5,0.75,1.0"
88%,,0.88,"0.0,0.25,0.5,0.75,1.0","0.0,0.5,1.0"
70%,,0.7,"0.0,0.2,0.4,0.6,0.8,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
18%,,0.18,"0.0,0.2,0.4,0.6,0.8,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
22%,,0.22,"0.0,0.2,0.4,0.6,0.8,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
92%,,0.92,"0.0,0.25,0.5,0.75,1.0","0.0,0.25,0.5,0.75,1.0"
27%,,0.27,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
98%,,0.98,"0.0,0.25,0.5,0.75,1.0","0.0,0.25,0.5,0.75,1.0"
7%,,0.07,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
12%,,0.12,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
32%,,0.32,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
5%,,0.05,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
