Operand 1,Operand 2,Answer,Operator,Markers List
1s,8745,5,=,"0,1,2,3,4,5,6,7,8,9"
10s,8745,40,=,"0,10,20,30,40,50,60,70,80,90"
100s,8745,700,=,"0,100,200,300,400,500,600,700,800,900"
1000s,8745,8000,=,"0,1000,2000,3000,4000,5000,6000,7000,8000,9000"
1s,3092,2,=,"0,1,2,3,4,5,6,7,8,9"
10s,4567,60,=,"0,10,20,30,40,50,60,70,80,90"
10s,3092,90,=,"0,10,20,30,40,50,60,70,80,90"
1000s,4567,4000,=,"0,1000,2000,3000,4000,5000,6000,7000,8000,9000"
100s,3092,0,=,"0,100,200,300,400,500,600,700,800,900"
1000s,3092,3000,=,"0,1000,2000,3000,4000,5000,6000,7000,8000,9000"
1s,4567,7,=,"0,1,2,3,4,5,6,7,8,9"
100s,4567,500,=,"0,100,200,300,400,500,600,700,800,900"
1s,1023,3,=,"0,1,2,3,4,5,6,7,8,9"
10s,7890,90,=,"0,10,20,30,40,50,60,70,80,90"
100s,1023,0,=,"0,100,200,300,400,500,600,700,800,900"
1000s,7890,7000,=,"0,1000,2000,3000,4000,5000,6000,7000,8000,9000"
1000s,1023,1000,=,"0,1000,2000,3000,4000,5000,6000,7000,8000,9000"
1s,7890,0,=,"0,1,2,3,4,5,6,7,8,9"
10s,1023,20,=,"0,10,20,30,40,50,60,70,80,90"
100s,7890,800,=,"0,100,200,300,400,500,600,700,800,900"
