Operand 1,Operand 2,Operator,Answer,Markers List
50,,,50,"0,50,100"
80,,,80,"0,50,100"
60,,,60,"0,50,100"
89,,,89,"0,50,100"
7,,,7,"0,50,100"
75,,,75,"0,50,100"
40,,,40,"0,50,100"
25,,,25,"0,50,100"
95,,,95,"0,50,100"
3,,,3,"0,50,100"
25,,,25,"0,50,100"
40,,,40,"0,50,100"
75,,,75,"0,50,100"
98,,,98,"0,50,100"
60,,,60,"0,50,100"
10,,,10,"0,50,100"
95,,,95,"0,50,100"
90,,,90,"0,50,100"
3,,,3,"0,50,100"
30,,,30,"0,50,100"
45,,,45,"0,50,100"
85,,,85,"0,50,100"
2,,,2,"0,50,100"
91,,,91,"0,50,100"
20,,,20,"0,50,100"
78,,,78,"0,50,100"
97,,,97,"0,50,100"
13,,,13,"0,50,100"
83,,,83,"0,50,100"
67,,,67,"0,50,100"
334,,,334,"0,500,1000"
420,,,420,"0,500,1000"
875,,,875,"0,500,1000"
750,,,750,"0,500,1000"
125,,,125,"0,500,1000"
999,,,999,"0,500,1000"
650,,,650,"0,500,1000"
500,,,500,"0,500,1000"
230,,,230,"0,500,1000"
380,,,380,"0,500,1000"
500,,,500,"0,500,1000"
230,,,230,"0,500,1000"
650,,,650,"0,500,1000"
999,,,999,"0,500,1000"
380,,,380,"0,500,1000"
125,,,125,"0,500,1000"
875,,,875,"0,500,1000"
775,,,775,"0,500,1000"
920,,,920,"0,500,1000"
10,,,10,"0,500,1000"
995,,,995,"0,500,1000"
480,,,480,"0,500,1000"
320,,,320,"0,500,1000"
890,,,890,"0,500,1000"
270,,,270,"0,500,1000"
765,,,765,"0,500,1000"
610,,,610,"0,500,1000"
995,,,995,"0,500,1000"
130,,,130,"0,500,1000"
990,,,990,"0,500,1000"
5000,,,5000,"0,5000,10000"
1300,,,1300,"0,5000,10000"
4500,,,4500,"0,5000,10000"
3000,,,3000,"0,5000,10000"
9800,,,9800,"0,5000,10000"
7200,,,7200,"0,5000,10000"
4200,,,4200,"0,5000,10000"
2000,,,2000,"0,5000,10000"
3400,,,3400,"0,5000,10000"
4900,,,4900,"0,5000,10000"
4700,,,4700,"0,5000,10000"
8400,,,8400,"0,5000,10000"
8200,,,8200,"0,5000,10000"
5900,,,5900,"0,5000,10000"
5600,,,5600,"0,5000,10000"
8700,,,8700,"0,5000,10000"
6600,,,6600,"0,5000,10000"
9990,,,9990,"0,5000,10000"
1900,,,1900,"0,5000,10000"
9000,,,9000,"0,5000,10000"
9999,,,9999,"0,5000,10000"
6300,,,6300,"0,5000,10000"
3000,,,3000,"0,5000,10000"
7800,,,7800,"0,5000,10000"
1300,,,1300,"0,5000,10000"
6600,,,6600,"0,5000,10000"
8500,,,8500,"0,5000,10000"
9200,,,9200,"0,5000,10000"
3700,,,3700,"0,5000,10000"
6100,,,6100,"0,5000,10000"
500000,,,500000,"0,500000,1000000"
25000,,,25000,"0,500000,1000000"
99999,,,99999,"0,500000,1000000"
100000,,,100000,"0,500000,1000000"
750000,,,750000,"0,500000,1000000"
123000,,,123000,"0,500000,1000000"
870000,,,870000,"0,500000,1000000"
250000,,,250000,"0,500000,1000000"
560000,,,560000,"0,500000,1000000"
999999,,,999999,"0,500000,1000000"
400000,,,400000,"0,500000,1000000"
1000000,,,1000000,"0,500000,1000000"
700000,,,700000,"0,500000,1000000"
55000,,,55000,"0,500000,1000000"
450000,,,450000,"0,500000,1000000"
650000,,,650000,"0,500000,1000000"
999000,,,999000,"0,500000,1000000"
975000,,,975000,"0,500000,1000000"
125000,,,125000,"0,500000,1000000"
850000,,,850000,"0,500000,1000000"
220000,,,220000,"0,500000,1000000"
390000,,,390000,"0,500000,1000000"
330000,,,330000,"0,500000,1000000"
900000,,,900000,"0,500000,1000000"
150000,,,150000,"0,500000,1000000"
310000,,,310000,"0,500000,1000000"
990000,,,990000,"0,500000,1000000"
730000,,,730000,"0,500000,1000000"
870000,,,870000,"0,500000,1000000"
888000,,,888000,"0,500000,1000000"
