Operand 1,Operand 2,Operator,Answer,Markers List,Visible Markers
-1/2,3,+,5/2,"-6/2, -5/2, -4/2,-3/2, -2/2, -1/2,1/2,2/2,3/2,4/2,5/2,6/2","-6/2, -5/2, -4/2,-3/2, -2/2, -1/2,1/2,2/2,3/2,4/2,5/2,6/2"
-1/2,2,+,3/2,"-4/2, -3/2, -2/2, -1/2,0,1/2,2/2, 3/2, 4/2","-4/2, -3/2, -2/2, -1/2,0,1/2,2/2, 3/2, 4/2"
-4/5,1/5,+,-3/5,"-4/5, -3/5, -2/5, -1/5, 0, 1/5, 2/5, 3/5, 4/5","-4/5, -3/5, -2/5, -1/5, 0, 1/5, 2/5, 3/5, 4/5"
0 + (,2/3),–,–2/3,"–1,–2/3,–1/3,0,1/3, 2/3, 1","–1,–2/3,–1/3,0,1/3, 2/3, 1"
–1,3/4,+,–1/4,"–1,–3/4,–2/4,–1/4,0, 1/4, 2/4, 3/4,1","–1,–2/4,0, 2/4, 1"
-3/2,5/2,+,1,"-5/2,-4/2, -3/2, -2/2, -1/2, 0, 1/2, 2/2, 3/2, 4/2, 5/2","-5/2,-3/2,-1/2,1/2,3/2,5/2"
2 + (,0.5),–,3/2,"–2,–3/2,–1,–1/2,0,1/2,1,3/2,2","–2,–3/2,–1,–1/2,0,1/2,1,3/2,2"
–3/4 + (,1/2),–,–5/4,"–6/4,–5/4,–4/4,–3/4, -2/4, -1/4, 0, 1/4, 2/4, 3/4, 1, 5/4, 6/4","–6/4,–5/4,–4/4,–3/4, -2/4, -1/4, 0, 1/4, 2/4, 3/4, 1, 5/4, 6/4"
–5/4,9/8,+,–1/8,"–4/8,–3/8,–2/8,–1/8,0,1/8,2/8,3/8,4/8","–4/8, -2/8, 0, 2/8, 4/8"
2 – 3/4,1/2,+,7/4,"5/4,6/4,7/4,8/4,9/4","5/4,7/4,9/4"
–1/2 + (,1/4),–,–3/4,"–1, –3/4, –1/2, –1/4, 0, 1/4, 1/2, 3/4, 1","–1, –1/2, 0, 1/2, 1"
–4,3.5,+,–1/2,"–4, –3, –2, –1, 0, 1, 2, 3, 4","–4, –2, 0, 2, 4"
–3,1/3,+,–8/3,"–3, –2, –1, 0, 1, 2, 3","–3, –1, 1, 3"
7/5 + (,2/5),–,1,"–2, -8/5, -6/5, –4/5, –2/5, 0, 2/5, 4/5, 6/5, 8/5, 2","–2, -8/5, -6/5, –4/5, –2/5, 0, 2/5, 4/5, 6/5, 8/5, 2"
–6/5,3/5,+,–3/5,"–2, -8/5, -6/5, –4/5, –2/5, 0, 2/5, 4/5, 6/5, 8/5, 2","–2, -8/5, -6/5, –4/5, –2/5, 0, 2/5, 4/5, 6/5, 8/5, 2"
2 + (,2/3),–,4/3,"–2, –4/3, –2/3, 0, 2/3, 4/3, 2","–2, –2/3, 2/3, 2"
–5/4 + (,1/2),–,–7/4,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–3,1.5,+,–3/2,"–3, –2, –1, 0, 1, 2, 3","–3, –2, –1, 0, 1, 2, 3"
0.25 + (,1),–,–3/4,"–1, –3/4, –1/2, –1/4, 0, 1/4, 1/2, 3/4, 1","–1, –1/2, 0, 1/2, 1"
–2 + 1/2 + (,1/2),–,–2,"–3, –2.5, –2, –1.5, –1, 0, 1, 1.5, 2, 2.5, 3","–3, –2, -1, 0, 1, 2, 3"
–3/4,1/2,+,–1/4,"–1, –3/4, –1/2, –1/4, 0, 1/4, 1/2, 3/4, 1","–1, –1/2, 0, 1/2, 1"
–1.25 + (,0.5),–,–7/4,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–1 + (,2/5),–,–7/5,"–2, -8/5, -6/5, –4/5, –2/5, 0, 2/5, 4/5, 6/5, 8/5, 2","–2, -8/5, -6/5, –4/5, –2/5, 0, 2/5, 4/5, 6/5, 8/5, 2"
–1 + (,2/3),–,–5/3,"–2, –4/3, –2/3, 0, 2/3, 4/3, 2","–2, –2/3, 2/3, 2"
9/8 + (,11/8),–,–1/4,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–3/2,1/4,+,–5/4,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
1/2 + (,7/4),–,–5/4,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–2.5,3/2,+,–1,"–3, –2, –1, 0, 1, 2, 3","–3, –1, 1, 3"
–5/6,1/2,+,–1/3,"–1, –2/3, –1/3, 0, 1/3, 2/3, 1","–1, –1/3, 1/3, 1"
–6/5,3/5,+,–3/5,"–2, -8/5, -6/5, –4/5, –2/5, 0, 2/5, 4/5, 6/5, 8/5, 2","–2, -8/5, -6/5, –4/5, –2/5, 0, 2/5, 4/5, 6/5, 8/5, 2"
–4,3/4,–,–19/4,"–20/4, –16/4, –12/4, –8/4, –4/4, 0, 4/4, 8/4, 12/4, 16/4, 20/4","–20/4, –16/4, –12/4, –8/4, –4/4, 0, 4/4, 8/4, 12/4, 16/4, 20/4"
–2,0.5,–,–2.5,"–3, –5/2, –2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2, 5/2, 3","–3, –5/2, –2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2, 5/2, 3"
–1,1/2,–,–3/2,"–2, –1.5, –1, –0.5, 0, 0.5, 1, 1.5, 2","–2, –1.5, –1, –0.5, 0, 0.5, 1, 1.5, 2"
–1/2 – (,1),–,1/2,"–1, –0.75, –0.5, –0.25, 0, 0.25, 0.5, 0.75, 1","–1, –0.5, 0, 0.5, 1"
–5/4,1/2,–,–7/4,"–3, –2.5, –2, –1.5, –1, –0.5, 0, 0.5, 1, 1.5, 2, 2.5, 3","–3, –2, –1, 0, 1, 2, 3"
–3 – (,2.5),–,–0.5,"–3, –5/2, –2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2, 5/2, 3","–3, –2, –1, 0, 1, 2, 3"
–2,5/3,+,–1/3,"–2, –5/3, –4/3, –1, –2/3, –1/3, 0, 1/3, 2/3, 1, 4/3, 5/3, 2","–2, –1, 0, 1, 2"
–7/4,1/2,–,–9/4,"–3, –2.5, –2, –1.5, –1, –0.5, 0, 0.5, 1, 1.5, 2, 2.5, 3","–3, –2, –1, 0, 1, 2, 3"
–1,1,–,–2,"–3, –2, –1, 0, 1, 2, 3","–3, –2, –1, 0, 1, 2, 3"
2,5/3,–,11/3,"–3, –2, –1, 0, 1, 2, 3, 4","–3, –2, –1, 0, 1, 2, 3, 4"
