Operand 1,Operand 2,Answer,Operator,Markers List
20,10,10,–,"0,1,2,3,4,5,6,7,8,9,10"
14,7,7,–,"0,1,2,3,4,5,6,7,8,9,10"
16,9,7,–,"0,1,2,3,4,5,6,7,8,9,10"
15,8,7,–,"0,1,2,3,4,5,6,7,8,9,10"
14,6,8,–,"0,1,2,3,4,5,6,7,8,9,10"
13,3,10,–,"0,1,2,3,4,5,6,7,8,9,10"
12,5,7,–,"0,1,2,3,4,5,6,7,8,9,10"
11,2,9,–,"0,1,2,3,4,5,6,7,8,9,10"
10,1,9,–,"0,1,2,3,4,5,6,7,8,9,10"
9,4,5,–,"0,1,2,3,4,5,6,7,8,9,10"
18,9,9,–,"0,1,2,3,4,5,6,7,8,9,10"
13,6,7,–,"0,1,2,3,4,5,6,7,8,9,10"
19,10,9,–,"0,1,2,3,4,5,6,7,8,9,10"
16,7,9,–,"0,1,2,3,4,5,6,7,8,9,10"
17,8,9,–,"0,1,2,3,4,5,6,7,8,9,10"
15,5,10,–,"0,1,2,3,4,5,6,7,8,9,10"
12,4,8,–,"0,1,2,3,4,5,6,7,8,9,10"
11,3,8,–,"0,1,2,3,4,5,6,7,8,9,10"
14,4,10,–,"0,1,2,3,4,5,6,7,8,9,10"
10,2,8,–,"0,1,2,3,4,5,6,7,8,9,10"
