Operand 1,Operand 2,Operator,Answer,Markers List,Visible Markers
0.3,,,0.3,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
0.5,,,0.5,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
0.7,,,0.7,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
0.25,,,0.25,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
0.65,,,0.65,"0, 0.2, 0.4, 0.6, 0.8, 1.0","0, 0.2, 0.4, 0.6, 0.8, 1.0"
0.85,,,0.85,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
0.05,,,0.05,"0.0, 0.02, 0.04, 0.06, 0.08, 0.1","0.0, 0.02, 0.08, 0.1"
0.09,,,0.09,"0.0, 0.02, 0.04, 0.06, 0.08, 0.1","0.0, 0.02, 0.08, 0.1"
0.04,,,0.04,"0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1","0.0, 0.05, 0.1"
0.06,,,0.06,"0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1","0.0, 0.05, 0.1"
0.1,,,0.1,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
0.02,,,0.02,"0.0, 0.05, 0.1","0.0, 0.1"
0.65,,,0.65,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.3, 0.5, 0.7, 1.0"
0.75,,,0.75,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.3, 0.5, 0.7, 1.0"
0.07,,,0.07,"0.0, 0.05, 0.1","0.0, 0.1"
0.4,,,0.4,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 0.2, 0.8, 1.0"
0.08,,,0.08,"0.0, 0.03, 0.06, 0.09","0.0, 0.03, 0.06, 0.09"
0.09,,,0.09,"0.0, 0.02, 0.04, 0.06, 0.08, 0.1","0.0, 0.04, 0.06, 0.1"
0.05,,,0.05,"0.0, 0.02, 0.04, 0.06, 0.08, 0.1","0.0, 0.02, 0.04, 0.08, 0.1"
0.35,,,0.35,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.4, 0.5, 0.6, 1.0"
0.07,,,0.07,"0.0, 0.02, 0.04, 0.06, 0.08, 0.1","0.0, 0.04, 0.06, 0.1"
0.3,,,0.3,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
0.45,,,0.45,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.3, 0.7, 1.0"
0.01,,,0.01,"0.0, 0.02, 0.04, 0.06, 0.08, 0.1","0.0, 0.04, 0.06, 0.1"
0.35,,,0.35,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
0.03,,,0.03,"0.0, 0.02, 0.04, 0.06, 0.08, 0.1","0.0, 0.02, 0.08, 0.1"
0.95,,,0.95,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
0.7,,,0.7,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 0.4, 0.6, 1.0"
0.55,,,0.55,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 0.2, 0.8, 1.0"
0.06,,,0.06,"0.0, 0.05, 0.1","0.0, 0.1"
0.3,,,0.3,"0, 1/10, 2/10, 3/10, 4/10, 5/10, 6/10, 7/10, 8/10, 9/10, 1","0, 1/10, 2/10, 3/10, 4/10, 5/10, 6/10, 7/10, 8/10, 9/10, 1"
0.4,,,0.4,"0, 1/10, 2/10, 3/10, 4/10, 5/10, 6/10, 7/10, 8/10, 9/10, 1","0, 1/10, 2/10, 3/10, 4/10, 5/10, 6/10, 7/10, 8/10, 9/10, 1"
0.25,,,0.25,"0, 1/4, 2/4, 3/4, 1","0, 1/4, 2/4, 3/4, 1"
0.5,,,0.5,"0, 1/4, 2/4, 3/4, 1","0, 1/4, 3/4, 1"
0.45,,,0.45,"0, 1/10, 2/10, 3/10, 4/10, 5/10, 6/10, 7/10, 8/10, 9/10, 1","0, 2/10, 4/10, 6/10, 8/10, 1"
0.75,,,0.75,"0, 1/4, 1/2, 3/4, 1","0, 1/2, 1"
0.05,,,0.05,"0, 1/100, 2/100, 3/100, 4/100, 5/100, 6/100, 7/100, 8/100, 9/100, 10/100","0, 2/100, 4/100, 6/100, 8/100, 10/100"
0.09,,,0.09,"0, 1/100, 2/100, 3/100, 4/100, 5/100, 6/100, 7/100, 8/100, 9/100, 10/100","0, 2/100, 4/100, 6/100, 8/100, 10/100"
0.67,,,0.67,"0, 1/12, 2/12, 3/12, 4/12, 5/12, 6/12, 7/12, 8/12, 9/12, 10/12, 11/12, 1","0, 3/12, 1/2, 9/12, 1"
0.33,,,0.33,"0, 1/2, 1","0, 1/2, 1"
0.28,,,0.28,"0, 1/4, 1/2, 3/4, 1","0, 1/4, 1/2, 3/4, 1"
0.6,,,0.6,"0, 1/5, 2/5, 3/5, 4/5, 1","0, 1/5, 2/5, 3/5, 4/5, 1"
0.05,,,0.05,"0, 1/100, 2/100, 3/100, 4/100, 5/100, 6/100, 7/100, 8/100, 9/100, 10/100","0, 2/100, 4/100, 6/100, 8/100, 10/100"
0.3,,,0.3,"0, 1/10, 2/10, 3/10, 4/10, 5/10, 6/10, 7/10, 8/10, 9/10, 1","0, 2/10, 4/10, 6/10, 8/10, 1"
0.62,,,0.62,"0, 1/10, 2/10, 3/10, 4/10, 5/10, 6/10, 7/10, 8/10, 9/10, 1","0, 3/10, 7/10, 1"
0.83,,,0.83,"0, 1/4, 2/4, 3/4, 1","0, 1/4, 3/4, 1"
0.33,,,0.33,"0, 1/3, 2/3, 1","0, 1"
0.92,,,0.92,"0, 1/4, 2/4, 3/4, 1","0, 1/4, 3/4, 1"
0.67,,,0.67,"0, 1/3, 2/3, 1","0, 1"
0.1,,,0.1,"0, 1/5, 2/5, 3/5, 4/5, 1","0, 2/10, 4/10, 6/10, 8/10, 1"
0.65,,,0.65,"0, 1/10, 2/10, 3/10, 4/10, 5/10, 6/10, 7/10, 8/10, 9/10, 1","0, 3/10, 5/10, 7/10, 1"
0.45,,,0.45,"0, 1/10, 2/10, 3/10, 4/10, 5/10, 6/10, 7/10, 8/10, 9/10, 1","0, 3/10, 5/10, 7/10, 1"
0.8,,,0.8,"0, 1/4, 1/2, 3/4, 1","0, 1/4, 1/2, 3/4, 1"
0.66,,,0.66,"0, 1/3, 2/3, 1","0, 1/3, 2/3, 1"
0.38,,,0.38,"0, 1/4, 1/2, 3/4, 1","0, 1/4, 1/2, 3/4, 1"
0.75,,,0.75,"0, 1/4, 1/2, 3/4, 1","0, 1/2, 1"
0.09,,,0.09,"0, 1/100, 2/100, 3/100, 4/100, 5/100, 6/100, 7/100, 8/100, 9/100, 10/100","0, 2/100, 4/100, 6/100, 8/100, 10/100"
0.7,,,0.7,"0, 1/4, 1/2, 3/4, 1","0, 1/4, 1/2, 3/4, 1"
0.5,,,0.5,"0, 1/4, 2/4, 3/4, 1","0, 1"
0.08,,,0.08,"0, 1/100, 2/100, 3/100, 4/100, 5/100, 6/100, 7/100, 8/100, 9/100, 10/100","0, 2/100, 4/100, 6/100, 8/100, 10/100"
7/10,,,7/10,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
8/10,,,8/10,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 0.2, 0.4, 0.6, 1.0"
5/10,,,5/10,"0.0, 0.25, 0.5, 0.75, 1.0","0.0, 0.25, 0.75, 1.0"
65/100,,,65/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
47/100,,,47/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
22/100,,,22/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
71/100,,,71/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
99/100,,,99/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
38/100,,,38/100,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 1.0"
74/100,,,74/100,"0.0, 1.0","0.0, 1.0"
42/100,,,42/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.3, 0.5, 0.7, 1.0"
86/100,,,86/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
60/100,,,60/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.8, 1.0"
77/100,,,77/100,"0.0, 0.25, 0.5, 0.75, 1.0","0.0, 1.0"
24/100,,,24/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
91/100,,,91/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.5, 1.0"
51/100,,,51/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
29/100,,,29/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
39/100,,,39/100,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 1.0"
97/100,,,97/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.5, 1.0"
63/100,,,63/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
28/100,,,28/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
88/100,,,88/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.2, 0.4, 0.6, 0.8, 1.0"
19/100,,,19/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.5, 1.0"
72/100,,,72/100,"0.0, 1.0","0.0, 1.0"
45/100,,,45/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.4, 0.5, 0.6, 1.0"
71/100,,,71/100,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 0.4, 0.6, 1.0"
94/100,,,94/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.5, 1.0"
56/100,,,56/100,"0.0, 0.2, 0.4, 0.6, 0.8, 1.0","0.0, 0.4, 0.6, 1.0"
66/100,,,66/100,"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0","0.0, 0.5, 1.0"
